model,q,accuracy,balanced_accuracy,nll,brier,auroc,runtime_seconds,users
neural_memory_mirt_rasch_highbudget_user_discriminative_l2,1000,0.8396437664817678,0.7767769856045658,0.4096411669362644,0.1191095287422014,0.8966910503417327,0.9282299688127296,16
neural_memory_mirt_rasch_highbudget_user_discriminative_rich,1000,0.8396437664817678,0.7767769856045658,0.4096411669362644,0.1191095287422014,0.8966910503417327,0.9009000142496006,16
neural_memory_mirt_rasch_voteuser_grid_70_30_user_discriminative_rich,1000,0.8396210330090025,0.7899413627734647,0.3835759476645882,0.1187277958602469,0.9009799768019832,0.9326157853129188,16
neural_memory_mirt_rasch_kernel_hybrid_w85_15_user_discriminative_l2,1000,0.8389106119850869,0.7996697673559765,0.3967552924604208,0.1193364091451925,0.8997506347549736,1.0356838121251712,16
neural_memory_mirt_rasch_kernel_hybrid_w85_15_user_discriminative_rich,1000,0.8388537783031735,0.7998022418355001,0.3970753897164442,0.1193342151152987,0.8997324621913367,1.0233883519999836,16
neural_memory_mirt_twopl_highbudget_user_discriminative_l2,1000,0.838529826316268,0.7913113878609691,0.4152701146792693,0.1185326520353555,0.8966910503417327,0.8704896073750206,16
neural_memory_mirt_twopl_highbudget_user_discriminative_rich,1000,0.838529826316268,0.7913113878609691,0.4152701146792693,0.1185326520353555,0.8966910503417327,0.8721661447500537,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_l2,1000,0.8326816404473948,0.8024752534875618,0.3970189025867228,0.1245760889723896,0.9013864203399936,0.9763214301253812,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich,1000,0.8326134400290989,0.8024452495032077,0.3969626812318766,0.1245769918896257,0.901368078986728,0.9814210797499072,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_freq,1000,0.8321701373101755,0.8010227711124209,0.397894299784772,0.1249188152141868,0.9010214799981178,0.968220556937922,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_legacy,1000,0.8317041011184869,0.8006334175959999,0.3989769933482642,0.1253321855328976,0.9008692300207556,1.102004802999545,16
neural_memory_mirt_accuracy_threshold_rasch_twopl_voteuser_grid_40_40_20_user_discriminative_rich,1000,0.8173422296990088,0.8075656909116159,0.417677194746874,0.1291325041092931,0.9005629748233324,0.9129394635631344,16
neural_memory_mirt_accuracy_threshold_rasch_twopl_voteuser_grid_35_45_20_user_discriminative_rich,1000,0.8173081294898609,0.8076088607532099,0.4175522196771484,0.1291200774721801,0.9005607752339604,0.9612609387500016,16
neural_memory_mirt_accuracy_threshold_rasch_twopl_voteuser_grid_30_50_20_user_discriminative_rich,1000,0.817205828862417,0.8076526264512546,0.4174315950675558,0.1291089132428168,0.9005567258825141,0.957239664563076,16
neural_memory_mirt_ft_svd_rerank_user_discriminative_freq,1000,0.799922706192598,0.7964552817994764,0.4364245886931504,0.1374002648517489,0.8731161862622868,1.0801443558123085,16
neural_memory_mirt_ft_svd_rerank_user_discriminative_rich,1000,0.7995191870510139,0.7949472490250769,0.4366550393663517,0.1374360807240008,0.8734126766887927,1.0378381037505733,16
neural_memory_mirt_ft_svd_rerank_user_discriminative_l2,1000,0.7979846776393562,0.7925550905144454,0.4379807337472392,0.1379778813570737,0.8713315699134417,1.0555400745624866,16
neural_memory_mirt_ft_kernel_smooth_user_discriminative_rich,1000,0.7967457033736474,0.8242459450396339,0.4580291332711004,0.1444347919896244,0.8997464205944053,1.090890744250146,16
neural_memory_mirt_ft_kernel_smooth_user_discriminative_l2,1000,0.7963251341274893,0.8240512191176351,0.4578420983067691,0.1444695484824478,0.8997593644133242,1.1152349347501058,16
neural_memory_mirt_ft_kernel_smooth_user_discriminative_freq,1000,0.7962739838137673,0.824108755424532,0.4583600431656036,0.1446612603031098,0.8992575753867613,1.0844631742497768,16
neural_memory_mirt_ft_kernel_user_discriminative_rich,1000,0.7961148495044104,0.8241441741794167,0.4572651412976966,0.14426447218284,0.9000483513658594,1.096404075375176,16
neural_memory_mirt_ft_kernel_user_discriminative_l2,1000,0.7960011821405838,0.8241848898961552,0.4569442298817869,0.1442232602275907,0.9000104504853722,1.1651657593752134,16
neural_memory_mirt_ft_kernel_user_discriminative_freq,1000,0.7958079476220787,0.824067430997758,0.4578143596213624,0.1445561153814196,0.8994245281231594,1.1216289755623166,16
neural_memory_mirt_ft_kernel_user_discriminative_legacy,1000,0.7955749295262344,0.8239251038409973,0.457444404583216,0.1445018709637224,0.8996514059135419,2.955869063249793,16
neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_freq,1000,0.7834750386469037,0.8049594688708417,0.4645525901498686,0.1474207579158246,0.8731161643732784,1.0666548221254288,16
neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_rich,1000,0.7834352550695645,0.8044292517870518,0.4646816770313278,0.1474182116799056,0.8734126502062098,1.0086049115002425,16
neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2,1000,0.7821110302809857,0.802790185639688,0.4662516064838553,0.1480575399473309,0.8713315058111513,1.0912091582506491,16
neural_memory_mirt_online_user_logreg_user_discriminative_legacy,1000,0.7506763208147677,0.6777411055605467,0.4941031759363052,0.1626680651679634,0.825608591508696,1.483789359999946,16
