estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds,source,source_path
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w70_30,1000,0.790695395427633,0.8400245521505865,0.4099045471594871,0.1184720731353808,0.8983830040165166,1.264827613625073,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g16_t025_rp200/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w55_45_bp060,1000,0.7905824875250649,0.8389560789306174,0.411431893912797,0.1186729922547486,0.8988338461414611,0.4665657296252448,grouped_residual_irt_q1000_bias_anchor_g16,
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w65_35_bp060,1000,0.7905477254026682,0.8394959989087933,0.4103873256033938,0.1185487408736094,0.8983667004705487,0.439376361000086,grouped_residual_irt_q1000_bias_pca_g16,
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w60_40_bp060,1000,0.7905445330971461,0.8386605437846686,0.4117581718924302,0.1189042901473131,0.8993938652098299,0.4508055581875396,grouped_residual_irt_q1000_bias_anchor_g64,
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w50_50_bp060,1000,0.7905420694014418,0.8385070928435028,0.412348983232138,0.1188990283688867,0.8993938652098299,0.4497098448122187,grouped_residual_irt_q1000_bias_anchor_g64,
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w55_45_bp060,1000,0.7905115242952158,0.838546876420842,0.4120420094501208,0.1189005687746206,0.8993938652098299,0.5036944875629388,grouped_residual_irt_q1000_bias_anchor_g64,
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w65_35_bp060,1000,0.7904787403576706,0.8387969446212603,0.4114930366295795,0.1189101933521525,0.8993938652098299,0.4478253094374622,grouped_residual_irt_q1000_bias_anchor_g64,
grouped_residual_irt_anchor_cosine_g16_t010_rp100_twopl_hybrid_w80_20,1000,0.7903627035455842,0.8402121033009002,0.4097772004944771,0.1185499801584199,0.8988612237490123,1.7851258190624435,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w80_20,1000,0.7903440853999358,0.8401950531963263,0.4097740027442312,0.1185489782764304,0.8988599449315228,1.7410239888750425,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w60_40_bp060,1000,0.7902527854217803,0.8390072292443393,0.4111017777423729,0.1186592548496755,0.8988352240429511,0.4691547876874438,grouped_residual_irt_q1000_bias_anchor_g16,
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w65_35_bp060,1000,0.7897551327661897,0.8389788124033828,0.4107917156932668,0.1186482396024325,0.8988382988766371,0.4733645853127655,grouped_residual_irt_q1000_bias_anchor_g16,
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w60_40_bm060,1000,0.7895956938069785,0.8394107483859234,0.4107395221064088,0.1185945201935491,0.8983587576234923,0.4816504259372323,grouped_residual_irt_q1000_bias_pca_g16,
