model,q,accuracy,balanced_accuracy,nll,brier,auroc
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.32), np.float64(0.45), np.float64(0.16), np.float64(0.07)] | b=0.010",1000,0.8414169773574611,0.8371383985125607,0.38317053168003234,0.11853159790391772,0.9129987510287628
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.32), np.float64(0.46), np.float64(0.15), np.float64(0.07)] | b=0.010",1000,0.8414169773574611,0.8371230684939859,0.38315167128695937,0.11852508616903891,0.9129708675817171
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.43), np.float64(0.135), np.float64(0.065)] | b=0.010",1000,0.8414169773574611,0.8371091321134632,0.383527600991398,0.11854576820107174,0.91283069544282
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.38), np.float64(0.42), np.float64(0.135), np.float64(0.065)] | b=0.010",1000,0.8414169773574611,0.8371035575612542,0.3835550929760773,0.11855173547359218,0.9128433030224357
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.34), np.float64(0.45), np.float64(0.14), np.float64(0.07)] | b=0.010",1000,0.8414169773574611,0.8370993766470974,0.383191665624273,0.11853216294777225,0.9129590010074126
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.38), np.float64(0.4), np.float64(0.165), np.float64(0.055)] | b=0.020",1000,0.8414169773574611,0.8369767364984989,0.38428779167397636,0.11857610695235361,0.9126414333901846
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.41), np.float64(0.155), np.float64(0.065)] | b=0.020",1000,0.8414169773574611,0.8369223846144609,0.383564578892402,0.11856289244124713,0.9129013015205962
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.33), np.float64(0.46), np.float64(0.14), np.float64(0.07)] | b=0.020",1000,0.8414169773574611,0.836912629148095,0.3831714839381011,0.11853475370026345,0.912947323437648
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.36), np.float64(0.42), np.float64(0.15), np.float64(0.07)] | b=0.020",1000,0.8414169773574611,0.8368945118534158,0.38326915661449845,0.11855700859021366,0.9130157685176294
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.39), np.float64(0.42), np.float64(0.12), np.float64(0.07)] | b=0.000",1000,0.8414112939892698,0.837282447047374,0.383321260746839,0.11855705114633729,0.9129359707747505
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.33), np.float64(0.44), np.float64(0.16), np.float64(0.07)] | b=0.010",1000,0.8414112939892698,0.8371277532235735,0.3831980333561594,0.11853743826506774,0.9130104050631026
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.34), np.float64(0.43), np.float64(0.16), np.float64(0.07)] | b=0.010",1000,0.8414112939892698,0.8371207850333122,0.38322573762977963,0.1185433615539086,0.9130222370881901
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.42), np.float64(0.145), np.float64(0.065)] | b=0.010",1000,0.8414112939892698,0.8370984868244762,0.3835399200673078,0.11854913256809096,0.9128699933742273
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.38), np.float64(0.41), np.float64(0.145), np.float64(0.065)] | b=0.010",1000,0.8414112939892698,0.8370956995483716,0.38356755255705643,0.11855514691983106,0.9128809732071498
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.4), np.float64(0.4), np.float64(0.135), np.float64(0.065)] | b=0.010",1000,0.8414112939892698,0.8370873377200581,0.38361069090000005,0.11856391905823592,0.912868422335452
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.39), np.float64(0.4), np.float64(0.155), np.float64(0.055)] | b=0.020",1000,0.8414112939892698,0.8369619102953549,0.38429497970585497,0.11857510137083804,0.9126250636171874
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.44), np.float64(0.135), np.float64(0.055)] | b=0.020",1000,0.8414112939892698,0.8369577293811983,0.3842171853224807,0.11855635101618546,0.9125259758074439
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.38), np.float64(0.42), np.float64(0.145), np.float64(0.055)] | b=0.020",1000,0.8414112939892698,0.836956335743146,0.38425371422431465,0.11856463331695517,0.9125792421773756
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.3), np.float64(0.49), np.float64(0.14), np.float64(0.07)] | b=0.020",1000,0.8414112939892698,0.8369173138776829,0.3830909345051199,0.11851796594732748,0.9129134242966839
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.32), np.float64(0.47), np.float64(0.14), np.float64(0.07)] | b=0.020",1000,0.8414112939892698,0.8369061647732647,0.3831444305149326,0.11852907494093916,0.9129362252720183
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.34), np.float64(0.45), np.float64(0.14), np.float64(0.07)] | b=0.020",1000,0.8414112939892698,0.8368991965830035,0.3831987425179143,0.11854051529052582,0.9129590023185783
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.35), np.float64(0.45), np.float64(0.145), np.float64(0.055)] | b=0.010",1000,0.8414056106210784,0.8371589170761542,0.3841650516791292,0.11853923628297289,0.9125438041867551
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.35), np.float64(0.43), np.float64(0.16), np.float64(0.06)] | b=0.010",1000,0.8414056106210784,0.8371463743336838,0.383820164807863,0.11854518604680173,0.9127473257567067
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.3), np.float64(0.48), np.float64(0.155), np.float64(0.065)] | b=0.010",1000,0.8414056106210784,0.8371394061434225,0.3833677922649627,0.1185144037634048,0.9128167247753137
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.38), np.float64(0.41), np.float64(0.15), np.float64(0.06)] | b=0.010",1000,0.8414056106210784,0.8371226824867954,0.3838830581599413,0.11855661278920197,0.9127514121358145
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.36), np.float64(0.42), np.float64(0.155), np.float64(0.065)] | b=0.010",1000,0.8414056106210784,0.8371101397443252,0.38352888950736913,0.11854853163958358,0.9128901686090749
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.41), np.float64(0.155), np.float64(0.065)] | b=0.010",1000,0.8414056106210784,0.8371003842779594,0.3835564548414684,0.11855451005175358,0.9129013010616881
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.43), np.float64(0.145), np.float64(0.055)] | b=0.020",1000,0.8414056106210784,0.8369568395585769,0.3842277220159679,0.11855902686496368,0.9125677903903493
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.4), np.float64(0.4), np.float64(0.145), np.float64(0.055)] | b=0.020",1000,0.8414056106210784,0.8369456904541589,0.38430631881919414,0.11857609470314877,0.9126028343101104
