model,q,accuracy,balanced_accuracy,nll,brier,auroc
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.32, 0.465, 0.15, 0.065] | b=0.010",1000,0.8415135946167136,0.8372357501422056,0.3834122222710597,0.11852262463439972,0.9128280847807391
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.355, 0.435, 0.145, 0.065] | b=0.010",1000,0.8415135946167136,0.8372092710192127,0.38349885039110243,0.11854026682803738,0.9128522782796349
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.365, 0.405, 0.16, 0.07] | b=0.020",1000,0.8415135946167136,0.8370071935016355,0.38330267579181704,0.11856678131964533,0.9130499087819708
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.32, 0.47, 0.145, 0.065] | b=0.010",1000,0.8415079112485223,0.8372251048532184,0.38340482267028664,0.11852030552783048,0.9128114154719315
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.33, 0.46, 0.145, 0.065] | b=0.010",1000,0.8415079112485223,0.8372195303010095,0.3834314413937879,0.11852590479716653,0.9128235566698976
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.335, 0.455, 0.145, 0.065] | b=0.010",1000,0.8415079112485223,0.8372181366629572,0.38344481286760873,0.11852873529676622,0.9128294825489633
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.375, 0.4, 0.165, 0.06] | b=0.020",1000,0.8415079112485223,0.837048112820582,0.38390738042893346,0.11857204411186821,0.9127883539024085
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.335, 0.455, 0.15, 0.06] | b=0.010",1000,0.841502227880331,0.8372381514111198,0.3837632260269366,0.11853086146973009,0.9126999022034918
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.35, 0.44, 0.145, 0.065] | b=0.010",1000,0.8414965445121396,0.8371954524469308,0.3834852739092765,0.11853735306436997,0.9128469404583981
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.36, 0.43, 0.145, 0.065] | b=0.010",1000,0.8414965445121396,0.8371912715327741,0.3835124943995645,0.11854320121914406,0.9128584256145922
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.37, 0.405, 0.165, 0.06] | b=0.020",1000,0.8414965445121396,0.837039364985078,0.3838938981981563,0.11856911990396803,0.9127831322504552
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.38, 0.4, 0.16, 0.06] | b=0.020",1000,0.8414965445121396,0.8370254286045555,0.3839103672649592,0.11857118629308819,0.9127809285742162
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.365, 0.41, 0.16, 0.065] | b=0.020",1000,0.8414965445121396,0.8370059176718239,0.3835607087024512,0.11856337456141403,0.9129087259965308
